source,destination,timestamp,state_label,w
150,91,0,0,53
150,184,0,0,87
150,63,0,0,71
150,170,0,0,82
150,216,0,0,58
150,77,0,0,37
150,98,0,0,67
150,27,0,0,70
150,125,0,0,49
150,172,0,0,80
150,218,0,0,67
150,29,0,0,52
150,81,0,0,65
150,118,0,0,78
150,131,0,0,87
150,102,0,0,75
150,116,0,0,37
150,176,0,0,80
150,177,0,0,33
150,191,0,0,89
150,223,0,0,50
150,178,0,0,60
150,171,0,0,45
150,123,0,0,94
150,199,0,0,52
150,195,0,0,88
150,13,0,0,92
150,136,0,0,67
150,137,0,0,57
150,112,0,0,69
150,35,0,0,56
150,68,0,0,87
150,192,0,0,42
150,89,0,0,86
150,90,0,0,84
150,24,0,0,31
150,97,0,0,72
150,25,0,0,77
150,78,0,0,60
150,26,0,0,54
150,28,0,0,53
150,219,0,0,75
150,47,0,0,67
150,188,0,0,84
150,80,0,0,63
150,31,0,0,74
150,130,0,0,63
150,175,0,0,58
150,119,0,0,53
150,83,0,0,81
150,32,0,0,67
150,128,0,0,46
150,34,0,0,61
150,33,0,0,61
150,133,0,0,64
150,152,0,0,33
150,212,0,0,41
150,52,0,0,57
150,37,0,0,43
150,87,0,0,67
150,179,0,0,52
150,153,0,0,51
150,108,0,0,65
150,44,0,0,50
150,88,0,0,53
150,181,0,0,44
150,127,0,0,32
150,169,0,0,82
150,173,0,0,41
150,107,0,0,102
150,203,0,0,74
150,142,0,0,64
150,148,0,0,55
150,79,0,0,86
150,186,0,0,40
150,149,0,0,42
150,220,0,0,39
150,221,0,0,34
150,197,0,0,52
150,198,0,0,75
150,132,0,0,64
150,30,0,0,42
150,117,0,0,43
150,182,0,0,57
150,85,0,0,63
150,39,0,0,50
150,16,0,0,88
150,86,0,0,75
150,145,0,0,46
150,92,0,0,29
150,201,0,0,51
150,120,0,0,45
150,196,0,0,24
150,36,0,0,10
150,158,0,0,37
150,129,0,0,58
150,180,0,0,60
150,174,0,0,84
150,57,0,0,34
150,140,0,0,26
91,184,0,0,50
91,63,0,0,49
91,170,0,0,55
91,216,0,0,36
91,77,0,0,29
91,98,0,0,49
91,27,0,0,35
91,125,0,0,42
91,172,0,0,56
91,218,0,0,31
91,29,0,0,31
91,81,0,0,55
91,118,0,0,45
91,131,0,0,51
91,102,0,0,41
91,116,0,0,26
91,176,0,0,53
91,177,0,0,28
91,191,0,0,55
91,223,0,0,25
91,178,0,0,35
91,171,0,0,27
91,123,0,0,50
91,199,0,0,40
91,195,0,0,49
91,13,0,0,52
91,136,0,0,35
91,137,0,0,39
91,112,0,0,27
91,35,0,0,30
91,68,0,0,58
91,192,0,0,23
91,89,0,0,45
91,90,0,0,54
91,24,0,0,28
91,97,0,0,44
91,25,0,0,58
91,78,0,0,38
91,26,0,0,45
91,28,0,0,50
91,219,0,0,58
91,47,0,0,57
91,188,0,0,62
91,80,0,0,57
91,31,0,0,49
91,130,0,0,52
91,175,0,0,47
91,119,0,0,50
91,83,0,0,63
91,32,0,0,48
91,128,0,0,39
91,34,0,0,40
91,33,0,0,51
91,133,0,0,40
91,152,0,0,25
91,212,0,0,24
91,52,0,0,47
91,37,0,0,36
91,87,0,0,57
91,179,0,0,40
91,153,0,0,40
91,108,0,0,48
91,44,0,0,44
91,88,0,0,43
91,181,0,0,40
91,196,0,0,16
91,127,0,0,14
91,169,0,0,53
91,173,0,0,20
91,36,0,0,4
91,107,0,0,50
91,158,0,0,19
91,203,0,0,46
91,142,0,0,40
91,148,0,0,31
91,79,0,0,58
91,186,0,0,21
91,129,0,0,40
91,149,0,0,28
91,180,0,0,35
91,220,0,0,22
91,221,0,0,23
91,174,0,0,54
91,198,0,0,45
91,132,0,0,46
91,30,0,0,18
91,57,0,0,26
91,117,0,0,22
91,182,0,0,28
91,85,0,0,37
91,39,0,0,22
91,16,0,0,44
91,86,0,0,48
91,145,0,0,29
91,92,0,0,19
91,120,0,0,27
91,197,0,0,30
91,201,0,0,21
91,140,0,0,22
184,63,0,0,117
184,170,0,0,105
184,216,0,0,119
184,77,0,0,78
184,98,0,0,81
184,27,0,0,139
184,125,0,0,73
184,172,0,0,149
184,218,0,0,133
184,29,0,0,82
184,81,0,0,72
184,118,0,0,112
184,131,0,0,142
184,102,0,0,145
184,116,0,0,94
184,176,0,0,70
184,177,0,0,63
184,191,0,0,99
184,223,0,0,112
184,178,0,0,149
184,171,0,0,112
184,123,0,0,149
184,199,0,0,84
184,195,0,0,101
184,13,0,0,140
184,136,0,0,159
184,137,0,0,70
184,112,0,0,156
184,35,0,0,81
184,68,0,0,100
184,192,0,0,89
184,89,0,0,105
184,173,0,0,97
184,36,0,0,9
184,158,0,0,81
184,148,0,0,133
184,25,0,0,116
184,79,0,0,161
184,129,0,0,68
184,219,0,0,70
184,197,0,0,93
184,130,0,0,56
184,132,0,0,83
184,57,0,0,51
184,83,0,0,121
184,140,0,0,80
184,145,0,0,82
184,92,0,0,52
184,153,0,0,50
184,201,0,0,121
184,127,0,0,64
184,169,0,0,112
184,107,0,0,173
184,203,0,0,126
184,142,0,0,109
184,78,0,0,80
184,186,0,0,87
184,149,0,0,97
184,220,0,0,86
184,188,0,0,91
184,221,0,0,72
184,198,0,0,129
184,30,0,0,116
184,117,0,0,101
184,182,0,0,116
184,85,0,0,143
184,133,0,0,93
184,39,0,0,115
184,16,0,0,145
184,86,0,0,140
184,120,0,0,93
184,90,0,0,95
184,196,0,0,31
184,24,0,0,30
184,97,0,0,81
184,26,0,0,61
184,28,0,0,65
184,180,0,0,102
184,47,0,0,83
184,80,0,0,84
184,31,0,0,86
184,174,0,0,131
184,175,0,0,43
184,119,0,0,59
184,32,0,0,58
184,128,0,0,41
184,34,0,0,68
184,33,0,0,56
184,152,0,0,51
184,212,0,0,60
184,52,0,0,54
184,37,0,0,44
184,87,0,0,74
184,179,0,0,52
184,108,0,0,86
184,44,0,0,54
184,88,0,0,50
184,181,0,0,39
63,170,0,0,83
63,216,0,0,78
63,77,0,0,57
63,98,0,0,76
63,27,0,0,78
63,125,0,0,63
63,172,0,0,105
63,218,0,0,91
63,29,0,0,51
63,81,0,0,69
63,118,0,0,76
63,131,0,0,109
63,102,0,0,85
63,116,0,0,65
63,176,0,0,72
63,177,0,0,50
63,191,0,0,93
63,223,0,0,70
63,178,0,0,87
63,171,0,0,73
63,123,0,0,93
63,199,0,0,71
63,195,0,0,78
63,13,0,0,98
63,136,0,0,91
63,137,0,0,63
63,112,0,0,98
63,35,0,0,58
63,68,0,0,88
63,192,0,0,58
63,89,0,0,87
63,173,0,0,57
63,203,0,0,93
63,142,0,0,104
63,79,0,0,109
63,26,0,0,62
63,219,0,0,77
63,220,0,0,69
63,80,0,0,62
63,31,0,0,67
63,174,0,0,93
63,198,0,0,101
63,132,0,0,91
63,119,0,0,48
63,85,0,0,101
63,33,0,0,56
63,87,0,0,76
63,127,0,0,42
63,169,0,0,105
63,107,0,0,101
63,148,0,0,75
63,25,0,0,84
63,78,0,0,71
63,186,0,0,46
63,149,0,0,59
63,188,0,0,78
63,221,0,0,44
63,197,0,0,53
63,30,0,0,58
63,117,0,0,63
63,182,0,0,74
63,133,0,0,87
63,39,0,0,66
63,16,0,0,105
63,86,0,0,106
63,145,0,0,54
63,92,0,0,49
63,201,0,0,68
63,120,0,0,56
63,90,0,0,76
63,196,0,0,23
63,36,0,0,7
63,24,0,0,30
63,158,0,0,51
63,97,0,0,73
63,129,0,0,56
63,28,0,0,54
63,180,0,0,68
63,47,0,0,76
63,130,0,0,51
63,175,0,0,49
63,57,0,0,61
63,83,0,0,95
63,32,0,0,63
63,128,0,0,36
63,34,0,0,57
63,152,0,0,35
63,212,0,0,39
63,52,0,0,52
63,37,0,0,44
63,179,0,0,47
63,153,0,0,48
63,108,0,0,81
63,44,0,0,63
63,88,0,0,55
63,181,0,0,51
63,140,0,0,50
170,216,0,0,64
170,77,0,0,51
170,98,0,0,82
170,27,0,0,94
170,125,0,0,64
170,172,0,0,123
170,218,0,0,73
170,29,0,0,68
170,81,0,0,84
170,118,0,0,95
170,131,0,0,101
170,102,0,0,83
170,116,0,0,52
170,176,0,0,88
170,177,0,0,58
