115 170 1.0
115 124 1.0
115 39 1.0
115 111 1.0
115 156 1.0
115 66 1.0
115 113 1.0
115 146 1.0
115 12 1.0
124 115 1.0
115 23 1.0
115 161 1.0
113 66 1.0
113 115 1.0
113 146 1.0
115 30 1.0
115 51 1.0
66 39 1.0
39 66 1.0
39 113 1.0
156 115 1.0
66 23 1.0
66 161 1.0
156 146 1.0
170 111 1.0
23 66 1.0
156 111 1.0
170 115 1.0
156 170 1.0
161 23 1.0
39 115 1.0
170 166 1.0
115 166 1.0
115 108 1.0
108 115 1.0
39 12 1.0
170 156 1.0
170 47 1.0
170 7 1.0
51 168 1.0
51 51 1.0
146 129 1.0
39 97 1.0
113 108 1.0
156 166 1.0
146 52 1.0
146 113 1.0
108 52 1.0
108 108 1.0
39 146 1.0
166 156 1.0
30 23 1.0
30 50 1.0
30 66 1.0
170 39 1.0
30 161 1.0
161 66 1.0
161 115 1.0
18 23 1.0
158 156 1.0
18 18 1.0
18 27 1.0
101 101 1.0
115 115 1.0
113 39 1.0
170 108 1.0
170 83 1.0
170 12 1.0
23 144 1.0
170 66 1.0
170 161 1.0
170 164 1.0
51 23 1.0
96 146 1.0
51 34 1.0
164 110 1.0
170 23 1.0
170 30 1.0
96 28 1.0
113 161 1.0
147 59 1.0
147 164 1.0
164 64 1.0
164 147 1.0
108 170 1.0
111 170 1.0
164 68 1.0
164 95 1.0
66 115 1.0
156 156 1.0
156 79 1.0
64 59 1.0
64 147 1.0
111 156 1.0
113 164 1.0
170 154 1.0
51 66 1.0
59 64 1.0
59 110 1.0
59 147 1.0
111 115 1.0
156 30 1.0
39 147 1.0
18 89 1.0
179 179 1.0
170 113 1.0
59 164 1.0
40 119 1.0
40 142 1.0
124 113 1.0
154 53 1.0
39 22 1.0
51 71 1.0
156 39 1.0
34 159 1.0
179 110 1.0
154 67 1.0
99 179 1.0
156 12 1.0
12 156 1.0
154 27 1.0
154 37 1.0
154 40 1.0
154 88 1.0
154 91 1.0
154 133 1.0
154 142 1.0
154 154 1.0
154 168 1.0
83 85 1.0
83 52 1.0
152 162 1.0
111 39 1.0
154 83 1.0
168 104 1.0
34 99 1.0
156 158 1.0
34 168 1.0
18 158 1.0
18 57 1.0
168 34 1.0
18 157 1.0
168 168 1.0
39 52 1.0
18 144 1.0
168 96 1.0
52 146 1.0
12 39 1.0
12 97 1.0
12 113 1.0
146 39 1.0
146 97 1.0
146 147 1.0
146 164 1.0
18 3 1.0
18 167 1.0
154 61 1.0
154 144 1.0
154 25 1.0
154 52 1.0
154 63 1.0
154 172 1.0
34 170 1.0
179 52 1.0
179 106 1.0
111 166 1.0
144 141 1.0
39 164 1.0
51 171 1.0
146 146 1.0
146 111 1.0
154 108 1.0
141 83 1.0
141 149 1.0
147 179 1.0
179 147 1.0
34 96 1.0
179 108 1.0
179 54 1.0
124 24 1.0
168 64 1.0
17 94 1.0
39 28 1.0
108 179 1.0
146 28 1.0
54 179 1.0
51 82 1.0
18 176 1.0
124 146 1.0
159 152 1.0
170 130 1.0
108 66 1.0
179 154 1.0
66 113 1.0
66 146 1.0
144 25 1.0
170 84 1.0
108 113 1.0
179 99 1.0
179 159 1.0
159 162 1.0
110 179 1.0
178 152 1.0
179 148 1.0
152 152 1.0
47 154 1.0
154 47 1.0
47 108 1.0
142 40 1.0
18 66 1.0
68 54 1.0
12 28 1.0
12 52 1.0
12 66 1.0
